cisd_type,max_cisd_bars,entry,rr,volume_filter,wick_filter,sweep_atr_filter,stop_buffer,trades,trades_per_day,win_rate,net_r,expectancy_r,profit_factor,max_drawdown_r,max_losing_streak,avg_mfe_r,avg_mae_r,sweet_spot_4_6,acceptable_3_8
EXTREME_OPEN,5,FIB_786,2.5,1.2,0.0,0.0,0.25,1535,4.888535031847134,43.74185136897001,814.5,0.5306188925081433,1.943800695249131,16.5,12,2.2498182083544167,1.17191208945234,True,True
EXTREME_OPEN,5,FIB_786,2.5,1.2,0.0,0.05,0.25,1487,4.735668789808917,43.741588156123825,789.0,0.5305985205110961,1.94377990430622,17.0,11,2.2490652390091626,1.1735331294489872,True,True
LAST_OPPOSING,3,FIB_786,3.0,0.0,0.4,0.05,0.5,1451,4.6210191082802545,38.24948311509304,769.0,0.5299793246037215,1.8582589285714286,13.0,13,2.394119141209782,1.2281057002580797,True,True
LAST_OPPOSING,8,FIB_786,2.5,1.2,0.0,0.15,0.5,1337,4.25796178343949,43.712574850299404,708.0,0.5295437546746448,1.9414893617021276,14.5,10,2.1734856110934038,1.1293739534818727,True,True
LAST_OPPOSING,8,FIB_786,3.0,1.2,0.0,0.15,0.25,1337,4.25796178343949,38.24850299401197,708.0,0.5295437546746448,1.8581818181818182,21.0,10,2.376450534846427,1.2412498321315297,True,True
EXTREME_OPEN,8,FIB_786,2.5,0.0,0.4,0.05,0.5,1563,4.977707006369426,43.698016634676904,827.5,0.5294305822136917,1.9403409090909092,14.0,10,2.2605823373352716,1.15327205850192,True,True
LAST_OPPOSING,8,FIB_786,3.0,0.0,0.3,0.15,0.5,1625,5.17515923566879,38.23891625615764,860.0,0.5292307692307693,1.8574277168494517,14.0,12,2.3697970972701388,1.2052004810651769,True,True
EXTREME_OPEN,3,FIB_786,3.0,0.0,0.4,0.05,0.5,1507,4.7993630573248405,38.22163238221633,797.0,0.528865295288653,1.8560687432867884,13.0,13,2.4107791615616496,1.2371271126164027,True,True
EXTREME_OPEN,3,FIB_786,3.0,0.0,0.4,0.0,0.5,1589,5.060509554140127,38.224181360201506,840.0,0.5286343612334802,1.856269113149847,14.0,12,2.423731943881831,1.264977000563176,True,True
LAST_OPPOSING,5,FIB_786,3.0,1.2,0.0,0.0,0.25,1516,4.828025477707007,38.21782178217822,801.0,0.5283641160949868,1.8557692307692308,18.0,13,2.3837031452805397,1.2351290157022927,True,True
EXTREME_OPEN,5,FIB_786,2.5,0.0,0.4,0.15,0.5,1262,4.019108280254777,43.6608557844691,666.5,0.5281299524564184,1.9374120956399437,11.0,10,2.2312315091498025,1.1382833490297186,True,True
EXTREME_OPEN,5,FIB_786,3.0,0.0,0.4,0.0,0.5,1632,5.197452229299363,38.197424892703864,861.0,0.5275735294117647,1.8541666666666667,14.0,12,2.4161210377253655,1.2598823731334627,True,True
LAST_OPPOSING,8,FIB_786,3.0,0.0,0.4,0.05,0.5,1519,4.837579617834395,38.18301514154049,801.0,0.5273206056616195,1.8530351437699681,12.0,12,2.385459441638199,1.2248641050337723,True,True
